mark,member,section,layer,shapeCode,dia,A,B,C,D,noOfMembers,noOfBarsEach,remarks
"B1","Beam B101","Ground Floor","BEAMS-MAIN-BARS","00","16","5800","0","0","0","3","4","Bottom main bars"
"B2","Beam B101","Ground Floor","BEAMS-MAIN-BARS","11","16","4200","350","0","0","3","2","Top hook bars"
"B3","Beam B102","Ground Floor","BEAMS-MAIN-BARS","33","20","3200","200","1800","0","2","3","Cranked bottom bar"
"L1","Beam B101","Ground Floor","BEAMS-LINKS","25","8","250","500","0","0","3","28","Links @200"
"L2","Beam B102","Ground Floor","BEAMS-LINKS","25","8","250","500","0","0","2","22","Links @200"
"C1","Col C1","Ground Floor","COLUMNS-MAIN-BARS","00","20","3450","0","0","0","8","8","Main vertical bars"
"C2","Col C2","First Floor","COLUMNS-MAIN-BARS","00","20","3450","0","0","0","6","8","Main vertical bars"
"T1","Col C1","Ground Floor","COLUMNS-TIES","25","8","300","300","0","0","8","20","Column ties @200"
"T2","Col C2","First Floor","COLUMNS-TIES","25","8","300","300","0","0","6","20","Column ties @200"
"S1","Slab S01","Ground Floor","SLAB-BOT-BARS","00","12","6200","0","0","0","1","42","Bot bars x-dir"
"S2","Slab S01","Ground Floor","SLAB-BOT-BARS","00","12","5800","0","0","0","1","38","Bot bars y-dir"
"S3","Slab S01","Ground Floor","SLAB-TOP-BARS","11","10","1200","150","0","0","1","24","Top L-bars edge"
"S4","Slab S02","First Floor","SLAB-TOP-BARS","00","12","6200","0","0","0","1","40","Top bars x-dir"
"F1","Pad FND1","Foundation","FOUNDATIONS","00","16","2800","0","0","0","4","10","Pad base bars"
"F2","Pad FND1","Foundation","FOUNDATIONS","32","16","400","2800","0","0","4","5","U-bars perimeter"
